Token,Last Price,Percentage Change,Average Trades,Average Volume,Volume-to-Trade Ratio,Time Frame
KAVAUSDT,0.9350,4.563,233538,56240358.4,52290939.3400,1681361400000
1000LUNCBUSD,0.1315000,3.056,34742,81410255,10407685.3000000,1681361400000
MKRUSDT,784.10,8.182,209006,73679.972,55543926.95,1681361400000
LINKUSDT,7.744,7.213,451257,28815229.83,215807016.050,1681361400000
ONEUSDT,0.02296,4.792,85460,582765799,13080704.33000,1681361400000
NEARUSDT,2.2550,3.204,345462,94108821,207225537.2300,1681361400000
QNTUSDT,120.140000,-1.565,100665,128129.4,15852454.110000,1681361400000
XEMUSDT,0.0418,5.823,62469,666851599,27315584.1800,1681361400000
XVSUSDT,7.151000,2.318,129795,2162414.9,14964196.410000,1681361400000
GALUSDT,2.13880,3.474,264255,23173184,47690446.61000,1681361400000
YFIUSDT,9323.0,0.086,323686,9254.771,84325380.95,1681361400000
KLAYUSDT,0.2584,8.800,272699,302868804.2,76930588.1000,1681361400000
AMBUSDT,0.0150500,8.040,49979,618475725,8858384.6200000,1681361400000
SFPUSDT,0.4968,3.955,80632,21766801,10651677.5700,1681361400000
COTIUSDT,0.08266,5.568,68127,115222005,9283300.92000,1681361400000
ANKRUSDT,0.036520,4.313,123099,885138895,31667211.700000,1681361340000
FOOTBALLUSDT,660.10000,3.709,150388,44596.73,29097665.91000,1681361400000
DOTUSDT,6.797,6.137,367856,27163949.5,179211416.100,1681361400000
DGBUSDT,0.01000,5.042,60294,1337280997,13015718.51000,1681361340000
LPTUSDT,6.575,3.658,160537,3914493.3,25115060.040,1681361400000
BAKEUSDT,0.2194,6.093,61025,41810733,8907993.3800,1681361400000
LITUSDT,1.182,6.968,104622,22723148.6,25986709.720,1681361400000
SOLBUSD,25.2150,5.190,248609,3889835,95736385.7400,1681361400000
LINKBUSD,7.7460000,7.152,42394,1404847.6,10526336.1800000,1681361520000
XTZUSDT,1.156,5.571,79179,19444357.8,21864194.030,1681361400000
DODOBUSD,0.1944000,7.048,63498,57770727,10770124.3500000,1681361400000
PEOPLEUSDT,0.02483,3.978,103789,789049069,19199743.85000,1681361400000
AXSUSDT,9.04300,5.704,254204,10310161,91299127.50000,1681361400000
BLZUSDT,0.09159,8.622,86495,157048701,13892356.51000,1681361400000
LTCBUSD,98.350000,6.497,53024,192027.25,18324837.410000,1681361400000
TRUUSDT,0.0743300,4.793,122503,235241696,17097916.3700000,1681361400000
DASHUSDT,58.48,4.559,122590,390705.183,22414172.00,1681361400000
BTCDOMUSDT,1584.5,-5.600,59842,11100.947,18074648.56,1681361340000
STGUSDT,0.8737000,9.789,228542,67977567,56790058.8900000,1681361400000
UNFIUSDT,5.374,6.733,137055,5146314.0,26830251.260,1681361400000
FILBUSD,6.2450000,5.170,46130,1890107.0,11560919.7400000,1681361400000
BTCUSDT,30683.50,2.116,4470911,530284.967,16122695776.03,1681361400000
COCOSUSDT,1.599000,5.614,149457,24221297.4,37706297.550000,1681361400000
FETUSDT,0.3666000,7.570,250076,199106616,71092643.7100000,1681361400000
RSRUSDT,0.004774,11.204,177112,9075826348,41287510.780000,1681361400000
AGIXBUSD,0.4203000,7.880,74465,36731046,14844716.5900000,1681361400000
ETCBUSD,22.954000,5.072,67383,623845.6,14003373.840000,1681361400000
SSVUSDT,36.400000,10.203,213870,1355146.06,47285467.340000,1681361400000
APTUSDT,12.79800,12.559,1072253,54034499.8,660740880.71000,1681361400000
ONTUSDT,0.2561,4.403,161493,117099120.8,29442244.7700,1681361400000
OMGUSDT,1.4720,1.939,163147,34276784.0,49387393.0200,1681361400000
1000XECUSDT,0.03249,3.935,41572,196750607,6269942.22000,1681361400000
GMTUSDT,0.39470,6.417,268916,275789194,105778744.72000,1681361400000
CVXUSDT,6.136000,11.665,95660,2405318,14034573.090000,1681361400000
TRXUSDT,0.06647,2.498,249290,1632286329,106686837.87000,1681361400000
RLCUSDT,1.8335,5.604,121978,10082341.6,17984159.0800,1681361400000
ZRXUSDT,0.2933,6.500,130241,97781035.3,27552117.9800,1681361400000
FTMBUSD,0.5240000,3.373,70682,37315025,19260508.9100000,1681361400000
1000SHIBBUSD,0.0114050,4.308,36609,1002797379,11221524.8800000,1681361520000
CELRUSDT,0.02345,6.397,214008,2120489635,49222467.02000,1681361400000
DOGEUSDT,0.091120,9.348,1495310,13068274091,1141613177.610000,1681361400000
APTBUSD,12.80300,12.455,106805,3004388.9,36740253.00000,1681361400000
CHZUSDT,0.13310,3.863,257368,557939569,73118975.72000,1681361400000
ASTRUSDT,0.0734500,8.863,110646,301070000,21027074.0400000,1681361400000
MATICUSDT,1.18370,7.045,658354,333720838,381766424.09000,1681361400000
THETAUSDT,1.1122,6.533,115676,23321717.5,25086474.7000,1681361400000
DOGEBUSD,0.091100,9.311,179775,1166101600,101910548.760000,1681361400000
XMRUSDT,163.65,0.826,146884,171444.576,27925671.09,1681361400000
QTUMUSDT,3.317,4.736,70160,3138925.3,10162378.460,1681361400000
USDCUSDT,0.9984500,0.004,19247,8237725,8225231.2500000,1681361400000
CKBUSDT,0.0045980,6.781,87265,2368696151,10528861.1800000,1681361400000
GALABUSD,0.0440960,2.117,55823,227214865,9851357.9000000,1681361400000
DUSKUSDT,0.19561,8.144,171042,165849667,31264852.16000,1681361400000
CFXUSDT,0.4007000,6.089,936385,1759545720,690274723.1700000,1681361400000
AVAXBUSD,19.267000,4.383,62256,741700.0,13994736.280000,1681361400000
STXUSDT,0.8874000,2.447,496698,199134329,176699774.8000000,1681361400000
ALGOUSDT,0.2267,5.393,127025,168084479.5,37032952.9500,1681361400000
ATAUSDT,0.1768,3.271,80200,92970589,16222740.6000,1681361340000
CTSIUSDT,0.1624,4.910,64931,68525855,10838807.2700,1681361340000
ATOMUSDT,12.054,6.343,486482,13911086.31,163612245.520,1681361400000
DENTUSDT,0.001167,4.103,74854,15057143195,17199749.820000,1681361400000
ETHUSDT_230630,2135.89,10.433,72887,46959.187,96096545.07,1681361340000
LDOUSDT,2.574900,13.717,766665,120415307,290881541.780000,1681361400000
COMPUSDT,45.41,6.222,116523,508560.528,22350645.56,1681361400000
ARUSDT,9.130,7.488,141405,2790776.2,24847422.030,1681361400000
BATUSDT,0.2875,4.204,101198,65665555.8,18366596.6600,1681361340000
IDUSDT,0.7201000,54.627,2879321,1905423741,1150589475.2000000,1681361400000
PHBUSDT,1.1433000,8.083,97550,11361120,12443948.8800000,1681361400000
IOTXUSDT,0.02983,5.146,67680,303559570,8807069.17000,1681361340000
MAGICUSDT,1.471000,14.252,531679,90588599.6,126679528.050000,1681361400000
ETHUSDT,2114.25,10.541,5288898,7738399.561,15611636312.30,1681361400000
OGNUSDT,0.1318,5.949,66276,86445384,11020499.1300,1681361400000
TOMOUSDT,0.7476,14.225,238146,69475912,49386274.8600,1681361400000
KNCUSDT,0.79750,4.494,101922,21391930,16701762.01000,1681361340000
ARPAUSDT,0.04513,3.013,125185,499826903,21975913.36000,1681361400000
UNIBUSD,6.056000,3.221,21040,537841.6,3213615.600000,1681116720000
CELOUSDT,0.706,5.847,68908,40265500.6,27673833.120,1681361400000
OCEANUSDT,0.41010,7.356,225492,120764142,47375409.30000,1681361400000
STMXUSDT,0.00614,4.244,59816,3536982546,21292556.99000,1681361400000
LDOBUSD,2.572700,13.605,105955,8668033.7,20962362.640000,1681361400000
LEVERUSDT,0.0022730,3.412,52593,4083356425,9062289.6300000,1681361400000
ETHBUSD,2115.02,10.496,631486,881885.358,1783167950.59,1681361400000
RNDRUSDT,1.638900,4.729,551313,73144121.7,118584476.540000,1681361400000
DOTBUSD,6.7970000,6.054,37348,1138669.7,7511791.8900000,1681361400000
SOLUSDT,25.2180,5.233,1725674,51299936,1260732225.3900,1681361400000
PERPUSDT,0.865100,7.346,82240,11839616.5,9915996.900000,1681361400000
HIGHUSDT,2.245000,5.697,172998,17484693.8,38573461.420000,1681361400000
XRPUSDT,0.5222,3.385,639400,1232238337.3,631536584.4500,1681361400000
1INCHUSDT,0.5634,4.897,110355,38795559,21229855.1800,1681361400000
ALPHAUSDT,0.12376,6.113,113984,109009930,13064683.98000,1681361400000
BALUSDT,7.643,10.800,101057,2098228.9,15270198.370,1681361400000
SXPUSDT,0.5927,1.716,347427,204755460.3,119746791.5900,1681361400000
HBARUSDT,0.06794,5.743,152177,418354645,27684032.38000,1681361400000
MINAUSDT,0.8052000,5.406,176272,54815774,42659253.5500000,1681361400000
ZECUSDT,42.42,6.236,245804,1494489.728,61852575.59,1681361400000
SPELLUSDT,0.0007884,3.288,79354,11683006867,9066492.4100000,1681361400000
STORJUSDT,0.4081,3.395,84615,37264312,14928258.5900,1681361400000
UNIUSDT,6.4060,8.100,261402,12857704,79537924.7200,1681361400000
TRBUSDT,15.900,3.854,68678,745239.8,11568141.360,1681361400000
ACHUSDT,0.0412800,2.432,263840,1721408493,69554277.4500000,1681361400000
FLMUSDT,0.1076,6.010,63677,111223649,11592542.8700,1681361400000
MASKUSDT,5.7450,6.290,571560,59014428,331761612.9700,1681361400000
